Indicator,S.No.,Parameters,Type,SubDistrict-_South-Total [(A+B) or (C+D)],SubDistrict-_South-Public [A],SubDistrict-_South-Private [B],SubDistrict-_South-Urban [C],SubDistrict-_South-Rural [D],SubDistrict-Autonomous-Total [(A+B) or (C+D)],SubDistrict-Autonomous-Public [A],SubDistrict-Autonomous-Private [B],SubDistrict-Autonomous-Urban [C],SubDistrict-Autonomous-Rural [D],SubDistrict-CGHS-Total [(A+B) or (C+D)],SubDistrict-CGHS-Public [A],SubDistrict-CGHS-Private [B],SubDistrict-CGHS-Urban [C],SubDistrict-CGHS-Rural [D],SubDistrict-Delhi Govt-Total [(A+B) or (C+D)],SubDistrict-Delhi Govt-Public [A],SubDistrict-Delhi Govt-Private [B],SubDistrict-Delhi Govt-Urban [C],SubDistrict-Delhi Govt-Rural [D],SubDistrict-ESI-Total [(A+B) or (C+D)],SubDistrict-ESI-Public [A],SubDistrict-ESI-Private [B],SubDistrict-ESI-Urban [C],SubDistrict-ESI-Rural [D],SubDistrict-IPP VIII-MCD-Total [(A+B) or (C+D)],SubDistrict-IPP VIII-MCD-Public [A],SubDistrict-IPP VIII-MCD-Private [B],SubDistrict-IPP VIII-MCD-Urban [C],SubDistrict-IPP VIII-MCD-Rural [D],SubDistrict-MCW Centres MCD-Total [(A+B) or (C+D)],SubDistrict-MCW Centres MCD-Public [A],SubDistrict-MCW Centres MCD-Private [B],SubDistrict-MCW Centres MCD-Urban [C],SubDistrict-MCW Centres MCD-Rural [D],SubDistrict-Private-Total [(A+B) or (C+D)],SubDistrict-Private-Public [A],SubDistrict-Private-Private [B],SubDistrict-Private-Urban [C],SubDistrict-Private-Rural [D],Month
M1 [Ante Natal Care (ANC)],1.3.1,New cases of PW with hypertension detected,TOTAL,208,192,16,20,188,29,29,NA,NA,29,0,0,NA,0,NA,137,137,NA,4,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,26,NA,0,26,16,NA,16,16,0,January
M1 [Ante Natal Care (ANC)],1.3.1.a,"Out of the new cases of PW with hypertension detected, cases managed at institution",TOTAL,172,161,11,11,161,29,29,NA,NA,29,0,0,NA,0,NA,50,50,NA,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,82,NA,0,82,11,NA,11,11,0,January
M1 [Ante Natal Care (ANC)],1.3.2,Number of Eclampsia cases managed during delivery,TOTAL,2,2,0,0,2,0,0,NA,NA,0,0,0,NA,0,NA,1,1,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0,1,0,NA,0,0,0,January
M1 [Ante Natal Care (ANC)],1.4.1,Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,TOTAL,1457,1357,100,431,1026,212,212,NA,NA,212,0,0,NA,0,NA,955,955,NA,141,814,13,13,NA,13,NA,NA,NA,NA,NA,NA,177,177,NA,177,0,100,NA,100,100,0,January
M1 [Ante Natal Care (ANC)],1.4.2,Number of PW having Hb level<11 (tested cases)(7.1 to 10.9),TOTAL,667,563,104,459,208,25,25,NA,NA,25,0,0,NA,0,NA,361,361,NA,282,79,21,21,NA,21,NA,NA,NA,NA,NA,NA,156,156,NA,54,102,104,NA,104,102,2,January
M1 [Ante Natal Care (ANC)],1.4.3,Number of PW having Hb level<7 (tested cases),TOTAL,43,40,3,17,26,3,3,NA,NA,3,0,0,NA,0,NA,35,35,NA,12,23,2,2,NA,2,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,3,NA,3,3,0,January
M1 [Ante Natal Care (ANC)],1.4.4,Number of PW having severe anaemia (Hb<7) treated,TOTAL,29,27,2,6,23,3,3,NA,NA,3,0,0,NA,0,NA,23,23,NA,3,20,1,1,NA,1,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,2,NA,2,2,0,January
M1 [Ante Natal Care (ANC)],1.5.1,Number of PW tested for blood sugar using OGTT (Oral Glucose Tolerance Test),TOTAL,1143,1026,117,117,1026,212,212,NA,NA,212,0,0,NA,0,NA,814,814,NA,NA,814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,NA,117,117,0,January
M1 [Ante Natal Care (ANC)],1.5.2,Number of PW tested positive for GDM,TOTAL,68,61,7,7,61,61,61,NA,NA,61,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,7,7,0,January
M1 [Ante Natal Care (ANC)],1.5.3,Number of PW given insulin out of total tested positive for GDM,TOTAL,14,13,1,1,13,13,13,NA,NA,13,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,0,January
M1 [Ante Natal Care (ANC)],1.6.1.a,Number of PW tested using POC test for Syphilis,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,January
M1 [Ante Natal Care (ANC)],1.6.1.b,"Out of above, number of PW found sero positive for syphilis",TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,January
M1 [Ante Natal Care (ANC)],1.6.2.a,Number of pregnant women tested for Syphilis,TOTAL,1581,1560,21,463,1118,212,212,NA,NA,212,0,0,NA,0,NA,1108,1108,NA,294,814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240,240,NA,148,92,21,NA,21,21,0,January
M1 [Ante Natal Care (ANC)],1.6.2.b,Number of pregnant women tested found sero positive for Syphilis,TOTAL,32,32,0,30,2,0,0,NA,NA,0,0,0,NA,0,NA,30,30,NA,30,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,2,0,NA,0,0,0,January
M1 [Ante Natal Care (ANC)],1.6.2.c,Number of syphilis positive pregnant women treated for Syphilis,TOTAL,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January
M1 [Ante Natal Care (ANC)],1.6.2.d,Number of babies diagnosed with Congenital Syphilis,TOTAL,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January
M1 [Ante Natal Care (ANC)],1.6.2.e,Number of babies treated for congenital Syphilis,TOTAL,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January
M2 [Deliveries],2.1.1.a,Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM),TOTAL,12,12,NA,12,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,12,12,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,January
M2 [Deliveries],2.1.1.b,Number of Home Deliveries attended by Non SBA (Trained Birth Attendant(TBA) /Relatives/etc.),TOTAL,59,59,NA,59,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,23,23,NA,23,NA,NA,NA,NA,NA,NA,20,20,NA,20,NA,16,16,NA,16,NA,NA,NA,NA,NA,NA,January
M2 [Deliveries],2.1.2,Number of PW given Tablet Misoprostol during home delivery,TOTAL,12,12,NA,12,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,NA,12,NA,NA,NA,NA,NA,NA,January
M2 [Deliveries],2.1.3,Number of newborns received 7 Home Based Newborn Care (HBNC) visits in case of Home delivery,TOTAL,46,46,NA,46,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,15,15,NA,15,NA,NA,NA,NA,NA,NA,26,26,NA,26,NA,5,5,NA,5,NA,NA,NA,NA,NA,NA,January
M2 [Deliveries],2.2,Number of Institutional Deliveries conducted (Including C-Sections),TOTAL,887,551,336,328,559,212,212,NA,NA,212,0,0,NA,0,NA,339,339,NA,0,339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,336,NA,336,328,8,January
M2 [Deliveries],2.2.1,Out of total institutional deliveries number of women discharged within 48 hours of delivery,TOTAL,505,307,198,194,311,109,109,NA,NA,109,0,0,NA,0,NA,198,198,NA,0,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,198,NA,198,194,4,January
M2 [Deliveries],2.2.2,Number of newborns received 6 HBNC  visits after Institutional Delivery,TOTAL,427,426,1,427,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,170,170,NA,170,NA,NA,NA,NA,NA,NA,24,24,NA,24,NA,232,232,NA,232,NA,1,NA,1,1,NA,January
M3 [Number of Caesarean (C-Section) deliveries],3.1,Total C -Section deliveries performed,TOTAL,280,144,136,133,147,103,103,NA,NA,103,0,0,NA,0,NA,41,41,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136,NA,136,133,3,January
M3 [Number of Caesarean (C-Section) deliveries],3.1.1,"C-sections, performed at night (8 PM- 8 AM)",TOTAL,106,78,28,28,78,65,65,NA,NA,65,0,0,NA,0,NA,13,13,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,28,28,0,January
M4 [Pregnancy outcome & details of new-born],4.1.1.a,Live Birth - Male,TOTAL,517,341,176,214,303,119,119,NA,NA,119,0,0,NA,0,NA,205,205,NA,22,183,NA,NA,NA,NA,NA,11,11,NA,11,NA,6,6,NA,6,NA,176,NA,176,175,1,January
M4 [Pregnancy outcome & details of new-born],4.1.1.b,Live Birth - Female,TOTAL,439,280,159,182,257,93,93,NA,NA,93,0,0,NA,0,NA,170,170,NA,13,157,NA,NA,NA,NA,NA,7,7,NA,7,NA,10,10,NA,10,NA,159,NA,159,152,7,January
M4 [Pregnancy outcome & details of new-born],4.1.2,Number of Pre term newborns ( < 37 weeks of pregnancy),TOTAL,88,60,28,30,58,52,52,NA,NA,52,0,0,NA,0,NA,6,6,NA,0,6,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,NA,NA,NA,NA,28,NA,28,28,0,January
M4 [Pregnancy outcome & details of new-born],4.1.3,Still Birth,TOTAL,12,9,3,5,7,7,7,NA,NA,7,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,NA,NA,NA,NA,3,NA,3,3,0,January
M4 [Pregnancy outcome & details of new-born],4.2,Abortion (spontaneous),TOTAL,88,47,41,42,46,20,20,NA,NA,20,0,0,NA,0,NA,26,26,NA,NA,26,NA,NA,NA,NA,NA,1,1,NA,1,NA,0,0,NA,0,NA,41,NA,41,41,0,January
M4 [Pregnancy outcome & details of new-born],4.3.1.a,MTP up to 12 weeks of pregnancy,TOTAL,114,53,61,61,53,45,45,NA,NA,45,0,0,NA,0,NA,8,8,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,61,61,0,January
M4 [Pregnancy outcome & details of new-born],4.3.1.b,MTP more than 12 weeks of pregnancy,TOTAL,18,13,5,5,13,13,13,NA,NA,13,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,5,0,January
M4 [Pregnancy outcome & details of new-born],4.3.2.a,Post Abortion/ MTP Complications Identified,TOTAL,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January
M4 [Pregnancy outcome & details of new-born],4.3.2.b,Post Abortion/ MTP Complications Treated,TOTAL,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January
M4 [Pregnancy outcome & details of new-born],4.3.3,Number of women provided with post abortion/ MTP contraception,TOTAL,55,51,4,4,51,17,17,NA,NA,17,0,0,NA,0,NA,34,34,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,4,0,January
M4 [Pregnancy outcome & details of new-born],4.4.1,Number of newborns weighed at birth,TOTAL,938,614,324,378,560,212,212,NA,NA,212,0,0,NA,0,NA,375,375,NA,35,340,NA,NA,NA,NA,NA,16,16,NA,16,NA,11,11,NA,11,NA,324,NA,324,316,8,January
M4 [Pregnancy outcome & details of new-born],4.4.2,Number of newborns having weight less than 2.5 kg,TOTAL,170,139,31,38,132,63,63,NA,NA,63,0,0,NA,0,NA,69,69,NA,0,69,NA,NA,NA,NA,NA,4,4,NA,4,NA,3,3,NA,3,NA,31,NA,31,31,0,January
M4 [Pregnancy outcome & details of new-born],4.4.3,Number of Newborns breast fed within 1 hour of birth,TOTAL,722,538,184,247,475,190,190,NA,NA,190,0,0,NA,0,NA,320,320,NA,35,285,NA,NA,NA,NA,NA,16,16,NA,16,NA,12,12,NA,12,NA,184,NA,184,184,0,January
M5 [Complicated Pregnancies],5.1,"Number of cases of pregnant women with Obstetric Complications attended (Antepartum haemorrhage (APH), Post-Partum Hemorrhage (PPH), Sepsis, Eclampsia and others)",TOTAL,230,230,0,0,230,144,144,NA,NA,144,0,0,NA,0,NA,86,86,NA,NA,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January
M5 [Complicated Pregnancies],5.2,Number of Complicated pregnancies treated with Blood Transfusion,TOTAL,24,22,2,1,23,2,2,NA,NA,2,NA,NA,NA,NA,NA,20,20,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,1,1,January
M6 [Post Natal Care (PNC)],6.1,Women receiving 1st post partum checkup within 48 hours of home delivery,TOTAL,55,55,0,55,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,25,25,NA,25,NA,NA,NA,NA,NA,NA,18,18,NA,18,NA,12,12,NA,12,NA,0,NA,0,0,NA,January
M6 [Post Natal Care (PNC)],6.2,Women receiving 1st post partum checkup between 48 hours and 14 days,TOTAL,488,237,251,253,235,190,190,NA,NA,190,0,0,NA,0,NA,47,47,NA,2,45,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,NA,251,NA,251,251,0,January
M6 [Post Natal Care (PNC)],6.3,Number of mothers provided full course of 180 IFA tablets after delivery,TOTAL,614,466,148,226,388,0,0,NA,NA,0,0,0,NA,0,NA,339,339,NA,0,339,NA,NA,NA,NA,NA,57,57,NA,57,NA,70,70,NA,22,48,148,NA,148,147,1,January
M6 [Post Natal Care (PNC)],6.4,Number of mothers provided 360 Calcium tablets after delivery,TOTAL,620,468,152,232,388,0,0,NA,NA,0,0,0,NA,0,NA,339,339,NA,0,339,NA,NA,NA,NA,NA,57,57,NA,57,NA,72,72,NA,24,48,152,NA,152,151,1,January
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.1.1,New RTI/STI cases identified - Male,TOTAL,328,328,0,71,257,1,1,NA,NA,1,2,2,NA,2,NA,259,259,NA,9,250,0,0,NA,0,NA,6,6,NA,6,NA,60,60,NA,54,6,0,NA,0,0,0,January
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.1.2,New RTI/STI cases identified - Female,TOTAL,372,370,2,238,134,15,15,NA,NA,15,2,2,NA,2,NA,99,99,NA,84,15,0,0,NA,0,NA,30,30,NA,30,NA,224,224,NA,120,104,2,NA,2,2,0,January
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.2.1,RTI/STI for which treatment initiated - Male,TOTAL,303,303,0,56,247,1,1,NA,NA,1,0,0,NA,0,NA,247,247,NA,7,240,0,0,NA,0,NA,6,6,NA,6,NA,49,49,NA,43,6,0,NA,0,0,0,January
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.2.2,RTI/STI for which treatment initiated -Female,TOTAL,302,300,2,173,129,15,15,NA,NA,15,0,0,NA,0,NA,91,91,NA,81,10,0,0,NA,0,NA,30,30,NA,30,NA,164,164,NA,60,104,2,NA,2,2,0,January
M8 [Family Planning],8.1.1,Number of Non Scalpel Vasectomy (NSV) / Conventional Vasectomy conducted,TOTAL,2,2,0,1,1,0,0,NA,NA,0,1,1,NA,1,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January
M8 [Family Planning],8.2.1,Number of Laparoscopic sterilizations (excluding post abortion) conducted,TOTAL,31,30,1,2,29,29,29,NA,NA,29,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,1,NA,1,1,0,January
M8 [Family Planning],8.2.2,Number of Interval Mini-lap (other than post-partum and post abortion) sterilizations conducted,TOTAL,5,5,0,0,5,0,0,NA,NA,0,0,0,NA,0,NA,5,5,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January
M8 [Family Planning],8.2.3,Number of Postpartum sterilizations (within 7 days of delivery by minilap or concurrent with caesarean section) conducted,TOTAL,19,16,3,3,16,12,12,NA,NA,12,0,0,NA,0,NA,4,4,NA,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,3,0,January
M8 [Family Planning],8.2.4,Number of Post Abortion sterilizations (within 7 days of spontaneous or surgical abortion) conducted,TOTAL,36,36,0,0,36,33,33,NA,NA,33,0,0,NA,0,NA,3,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January
M8 [Family Planning],8.3,Number of Interval IUCD Insertions (excluding PPIUCD and PAIUCD),TOTAL,220,192,28,136,84,15,15,NA,NA,15,0,0,NA,0,NA,103,103,NA,84,19,0,0,NA,0,NA,NA,NA,NA,NA,NA,74,74,NA,24,50,28,NA,28,28,0,January
M8 [Family Planning],8.4,Number of Postpartum (within 48 hours of delivery) IUCD insertions,TOTAL,78,78,0,0,78,57,57,NA,NA,57,0,0,NA,0,NA,21,21,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January
M8 [Family Planning],8.5,Number of Post Abortion (within 12 days of spontaneous or surgical abortion) IUCD insertions,TOTAL,25,25,0,0,25,17,17,NA,NA,17,0,0,NA,0,NA,8,8,NA,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January
M8 [Family Planning],8.6,Number of IUCD Removals,TOTAL,97,82,15,46,51,22,22,NA,NA,22,0,0,NA,0,NA,39,39,NA,22,17,0,0,NA,0,NA,NA,NA,NA,NA,NA,21,21,NA,13,8,15,NA,15,11,4,January
M8 [Family Planning],8.7,Number of complications following IUCD Insertion,TOTAL,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January
M8 [Family Planning],8.8,Injectable Contraceptive-Antara Program- First Dose,TOTAL,16,16,0,0,16,9,9,NA,NA,9,0,0,NA,0,NA,7,7,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January
M8 [Family Planning],8.9,Injectable Contraceptive-Antara Program- Second Dose,TOTAL,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January
M8 [Family Planning],8.1,Injectable Contraceptive-Antara Program- Third Dose,TOTAL,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January
M8 [Family Planning],8.11,Injectable Contraceptive-Antara Program- Fourth or more than fourth,TOTAL,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January
M8 [Family Planning],8.12,Number of Combined Oral Pill cycles distributed,TOTAL,1132,1105,27,923,209,118,118,NA,NA,118,19,19,NA,19,NA,502,502,NA,451,51,11,11,NA,11,NA,85,85,NA,85,NA,370,370,NA,330,40,27,NA,27,27,0,January
M8 [Family Planning],8.13,Number of Condom pieces distributed,TOTAL,49040,48975,65,38820,10220,5700,5700,NA,NA,5700,2450,2450,NA,2450,NA,21075,21075,NA,19575,1500,1500,1500,NA,1500,NA,3807,3807,NA,3807,NA,14443,14443,NA,11423,3020,65,NA,65,65,0,January
M8 [Family Planning],8.14,Number of Centchroman (weekly) pill strips distributed,TOTAL,46,34,12,42,4,0,0,NA,NA,0,0,0,NA,0,NA,13,13,NA,13,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,21,21,NA,17,4,12,NA,12,12,0,January
M8 [Family Planning],8.15,Number of Emergency Contraceptive Pills (ECP) given,TOTAL,193,183,10,167,26,0,0,NA,NA,0,0,0,NA,0,NA,114,114,NA,109,5,0,0,NA,0,NA,11,11,NA,11,NA,58,58,NA,37,21,10,NA,10,10,0,January
M8 [Family Planning],8.16,Number of Pregnancy Test Kits (PTK) used,TOTAL,1736,1655,81,1262,474,0,0,NA,NA,0,0,0,NA,0,NA,1154,1154,NA,794,360,0,0,NA,0,NA,102,102,NA,102,NA,399,399,NA,294,105,81,NA,81,72,9,January
M8 [Family Planning],8.17.1,Complications following male sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January
M8 [Family Planning],8.17.2,Complications following female sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January
M8 [Family Planning],8.17.3,Failures following male sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January
