Indicator,S.No.,Parameters,Type,SubDistrict-_South-Total [(A+B) or (C+D)],SubDistrict-_South-Public [A],SubDistrict-_South-Private [B],SubDistrict-_South-Urban [C],SubDistrict-_South-Rural [D],SubDistrict-Autonomous-Total [(A+B) or (C+D)],SubDistrict-Autonomous-Public [A],SubDistrict-Autonomous-Private [B],SubDistrict-Autonomous-Urban [C],SubDistrict-Autonomous-Rural [D],SubDistrict-CGHS-Total [(A+B) or (C+D)],SubDistrict-CGHS-Public [A],SubDistrict-CGHS-Private [B],SubDistrict-CGHS-Urban [C],SubDistrict-CGHS-Rural [D],SubDistrict-Delhi Govt-Total [(A+B) or (C+D)],SubDistrict-Delhi Govt-Public [A],SubDistrict-Delhi Govt-Private [B],SubDistrict-Delhi Govt-Urban [C],SubDistrict-Delhi Govt-Rural [D],SubDistrict-ESI-Total [(A+B) or (C+D)],SubDistrict-ESI-Public [A],SubDistrict-ESI-Private [B],SubDistrict-ESI-Urban [C],SubDistrict-ESI-Rural [D],SubDistrict-IPP VIII-MCD-Total [(A+B) or (C+D)],SubDistrict-IPP VIII-MCD-Public [A],SubDistrict-IPP VIII-MCD-Private [B],SubDistrict-IPP VIII-MCD-Urban [C],SubDistrict-IPP VIII-MCD-Rural [D],SubDistrict-MCW Centres MCD-Total [(A+B) or (C+D)],SubDistrict-MCW Centres MCD-Public [A],SubDistrict-MCW Centres MCD-Private [B],SubDistrict-MCW Centres MCD-Urban [C],SubDistrict-MCW Centres MCD-Rural [D],SubDistrict-Private-Total [(A+B) or (C+D)],SubDistrict-Private-Public [A],SubDistrict-Private-Private [B],SubDistrict-Private-Urban [C],SubDistrict-Private-Rural [D],Month,Year
M1 [Ante Natal Care (ANC)],1.6.2.c,Number of syphilis positive pregnant women treated for Syphilis,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,0,0,0,January,2018
M1 [Ante Natal Care (ANC)],1.6.2.d,Number of babies diagnosed with Congenital Syphilis,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,0,0,0,January,2018
M1 [Ante Natal Care (ANC)],1.6.2.e,Number of babies treated for congenital Syphilis,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,0,0,0,January,2018
M2 [Deliveries],2.1.1.a,Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM),TOTAL,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,January,2018
M2 [Deliveries],2.1.1.b,Number of Home Deliveries attended by Non SBA (Trained Birth Attendant(TBA) /Relatives/etc.),TOTAL,73,73,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,27,NA,27,NA,NA,NA,NA,NA,NA,19,19,NA,19,NA,27,27,NA,27,NA,NA,NA,NA,NA,NA,January,2018
M2 [Deliveries],2.1.2,Number of PW given Tablet Misoprostol during home delivery,TOTAL,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,January,2018
M2 [Deliveries],2.1.3,Number of newborns received 7 Home Based Newborn Care (HBNC) visits in case of Home delivery,TOTAL,51,51,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,22,NA,22,NA,NA,NA,NA,NA,NA,9,9,NA,9,NA,20,20,NA,20,NA,NA,NA,NA,NA,NA,January,2018
M2 [Deliveries],2.2,Number of Institutional Deliveries conducted (Including C-Sections),TOTAL,1156,630,526,403,753,191,191,NA,NA,191,NA,NA,NA,NA,NA,439,439,NA,0,439,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,NA,526,NA,526,403,123,January,2018
M2 [Deliveries],2.2.1,Out of total institutional deliveries number of women discharged within 48 hours of delivery,TOTAL,681,444,237,187,494,93,93,NA,NA,93,NA,NA,NA,NA,NA,351,351,NA,0,351,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,237,NA,237,187,50,January,2018
M2 [Deliveries],2.2.2,Number of newborns received 6 HBNC  visits after Institutional Delivery,TOTAL,726,704,22,726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410,410,NA,410,NA,NA,NA,NA,NA,NA,19,19,NA,19,NA,275,275,NA,275,NA,22,NA,22,22,NA,January,2018
M3 [Number of Caesarean (C-Section) deliveries],3.1,Total C -Section deliveries performed,TOTAL,382,143,239,166,216,98,98,NA,NA,98,NA,NA,NA,NA,NA,45,45,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,239,NA,239,166,73,January,2018
M3 [Number of Caesarean (C-Section) deliveries],3.1.1,"C-sections, performed at night (8 PM- 8 AM)",TOTAL,108,60,48,40,68,40,40,NA,NA,40,NA,NA,NA,NA,NA,20,20,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,48,40,8,January,2018
M4 [Pregnancy outcome & details of new-born],4.1.1.a,Live Birth - Male,TOTAL,668,385,283,249,419,115,115,NA,NA,115,NA,NA,NA,NA,NA,253,253,NA,13,240,NA,NA,NA,NA,NA,6,6,NA,6,NA,11,11,NA,11,NA,283,NA,283,219,64,January,2018
M4 [Pregnancy outcome & details of new-born],4.1.1.b,Live Birth - Female,TOTAL,589,325,264,241,348,80,80,NA,NA,80,NA,NA,NA,NA,NA,219,219,NA,14,205,NA,NA,NA,NA,NA,10,10,NA,10,NA,16,16,NA,16,NA,264,NA,264,201,63,January,2018
M4 [Pregnancy outcome & details of new-born],4.1.2,Number of Pre term newborns ( < 37 weeks of pregnancy),TOTAL,100,44,56,46,54,20,20,NA,NA,20,NA,NA,NA,NA,NA,24,24,NA,0,24,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,56,NA,56,46,10,January,2018
M4 [Pregnancy outcome & details of new-born],4.1.3,Still Birth,TOTAL,12,9,3,6,6,3,3,NA,NA,3,NA,NA,NA,NA,NA,3,3,NA,0,3,NA,NA,NA,NA,NA,3,3,NA,3,NA,0,0,NA,0,NA,3,NA,3,3,0,January,2018
M4 [Pregnancy outcome & details of new-born],4.2,Abortion (spontaneous),TOTAL,84,43,41,37,47,11,11,NA,NA,11,NA,NA,NA,NA,NA,30,30,NA,0,30,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,NA,NA,NA,NA,41,NA,41,35,6,January,2018
M4 [Pregnancy outcome & details of new-born],4.3.1.a,MTP up to 12 weeks of pregnancy,TOTAL,177,67,110,93,84,62,62,NA,NA,62,NA,NA,NA,NA,NA,5,5,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,NA,110,93,17,January,2018
M4 [Pregnancy outcome & details of new-born],4.3.1.b,MTP more than 12 weeks of pregnancy,TOTAL,23,18,5,3,20,18,18,NA,NA,18,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,3,2,January,2018
M4 [Pregnancy outcome & details of new-born],4.3.2.a,Post Abortion/ MTP Complications Identified,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January,2018
M4 [Pregnancy outcome & details of new-born],4.3.2.b,Post Abortion/ MTP Complications Treated,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January,2018
M4 [Pregnancy outcome & details of new-born],4.3.3,Number of women provided with post abortion/ MTP contraception,TOTAL,65,62,3,3,62,32,32,NA,NA,32,NA,NA,NA,NA,NA,30,30,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,3,0,January,2018
M4 [Pregnancy outcome & details of new-born],4.4.1,Number of newborns weighed at birth,TOTAL,1198,700,498,439,759,195,195,NA,NA,195,NA,NA,NA,NA,NA,464,464,NA,27,437,NA,NA,NA,NA,NA,16,16,NA,16,NA,25,25,NA,25,NA,498,NA,498,371,127,January,2018
M4 [Pregnancy outcome & details of new-born],4.4.2,Number of newborns having weight less than 2.5 kg,TOTAL,231,163,68,54,177,57,57,NA,NA,57,NA,NA,NA,NA,NA,101,101,NA,0,101,NA,NA,NA,NA,NA,2,2,NA,2,NA,3,3,NA,3,NA,68,NA,68,49,19,January,2018
M4 [Pregnancy outcome & details of new-born],4.4.3,Number of Newborns breast fed within 1 hour of birth,TOTAL,900,638,262,280,620,190,190,NA,NA,190,NA,NA,NA,NA,NA,407,407,NA,27,380,NA,NA,NA,NA,NA,16,16,NA,16,NA,25,25,NA,25,NA,262,NA,262,212,50,January,2018
M5 [Complicated Pregnancies],5.1,"Number of cases of pregnant women with Obstetric Complications attended (Antepartum haemorrhage (APH), Post-Partum Hemorrhage (PPH), Sepsis, Eclampsia and others)",TOTAL,117,98,19,19,98,81,81,NA,NA,81,NA,NA,NA,NA,NA,17,17,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,19,19,0,January,2018
M5 [Complicated Pregnancies],5.2,Number of Complicated pregnancies treated with Blood Transfusion,TOTAL,11,9,2,2,9,3,3,NA,NA,3,NA,NA,NA,NA,NA,6,6,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,2,0,January,2018
M6 [Post Natal Care (PNC)],6.1,Women receiving 1st post partum checkup within 48 hours of home delivery,TOTAL,58,58,0,58,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,27,NA,27,0,NA,NA,NA,NA,NA,16,16,NA,16,NA,15,15,NA,15,NA,0,NA,0,0,0,January,2018
M6 [Post Natal Care (PNC)],6.2,Women receiving 1st post partum checkup between 48 hours and 14 days,TOTAL,577,221,356,308,269,170,170,NA,NA,170,NA,NA,NA,NA,NA,49,49,NA,0,49,NA,NA,NA,NA,NA,0,0,NA,0,NA,2,2,NA,2,0,356,NA,356,306,50,January,2018
M6 [Post Natal Care (PNC)],6.3,Number of mothers provided full course of 180 IFA tablets after delivery,TOTAL,878,582,296,439,439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,447,447,NA,8,439,NA,NA,NA,NA,NA,0,0,NA,0,NA,135,135,NA,135,NA,296,NA,296,296,0,January,2018
M6 [Post Natal Care (PNC)],6.4,Number of mothers provided 360 Calcium tablets after delivery,TOTAL,898,582,316,459,439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,447,447,NA,8,439,NA,NA,NA,NA,NA,0,0,NA,0,NA,135,135,NA,135,NA,316,NA,316,316,0,January,2018
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.1.1,New RTI/STI cases identified - Male,TOTAL,112,109,3,52,60,0,0,NA,NA,0,2,2,NA,2,NA,19,19,NA,19,NA,0,0,NA,0,NA,9,9,NA,9,NA,79,79,NA,19,60,3,NA,3,3,0,January,2018
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.1.2,New RTI/STI cases identified - Female,TOTAL,353,347,6,191,162,18,18,NA,NA,18,4,4,NA,4,NA,88,88,NA,88,NA,0,0,NA,0,NA,13,13,NA,13,NA,224,224,NA,80,144,6,NA,6,6,0,January,2018
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.2.1,RTI/STI for which treatment initiated - Male,TOTAL,109,106,3,49,60,0,0,NA,NA,0,0,0,NA,0,NA,19,19,NA,19,NA,NA,NA,NA,NA,NA,9,9,NA,9,NA,78,78,NA,18,60,3,NA,3,3,0,January,2018
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.2.2,RTI/STI for which treatment initiated -Female,TOTAL,347,341,6,188,159,15,15,NA,NA,15,2,2,NA,2,NA,88,88,NA,88,NA,NA,NA,NA,NA,NA,13,13,NA,13,NA,223,223,NA,79,144,6,NA,6,6,0,January,2018
M8 [Family Planning],8.1.1,Number of Non Scalpel Vasectomy (NSV) / Conventional Vasectomy conducted,TOTAL,1,1,0,0,1,0,0,NA,NA,0,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January,2018
M8 [Family Planning],8.2.1,Number of Laparoscopic sterilizations (excluding post abortion) conducted,TOTAL,54,52,2,2,52,51,51,NA,NA,51,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,2,0,January,2018
M8 [Family Planning],8.2.2,Number of Interval Mini-lap (other than post-partum and post abortion) sterilizations conducted,TOTAL,4,4,0,0,4,2,2,NA,NA,2,NA,NA,NA,NA,NA,2,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January,2018
M8 [Family Planning],8.2.3,Number of Postpartum sterilizations (within 7 days of delivery by minilap or concurrent with caesarean section) conducted,TOTAL,15,11,4,1,14,11,11,NA,NA,11,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,1,3,January,2018
M8 [Family Planning],8.2.4,Number of Post Abortion sterilizations (within 7 days of spontaneous or surgical abortion) conducted,TOTAL,35,35,0,0,35,32,32,NA,NA,32,NA,NA,NA,NA,NA,3,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January,2018
M8 [Family Planning],8.3,Number of Interval IUCD Insertions (excluding PPIUCD and PAIUCD),TOTAL,169,150,19,79,90,26,26,NA,NA,26,0,0,NA,0,NA,65,65,NA,50,15,0,0,NA,0,NA,4,4,NA,4,NA,55,55,NA,17,38,19,NA,19,8,11,January,2018
M8 [Family Planning],8.4,Number of Postpartum (within 48 hours of delivery) IUCD insertions,TOTAL,102,102,0,0,102,69,69,NA,NA,69,NA,NA,NA,NA,NA,33,33,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,January,2018
M8 [Family Planning],8.5,Number of Post Abortion (within 12 days of spontaneous or surgical abortion) IUCD insertions,TOTAL,40,40,0,0,40,30,30,NA,NA,30,NA,NA,NA,NA,NA,10,10,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,January,2018
M8 [Family Planning],8.6,Number of IUCD Removals,TOTAL,78,65,13,32,46,14,14,NA,NA,14,0,0,NA,0,NA,27,27,NA,12,15,0,0,NA,0,NA,0,0,NA,0,NA,24,24,NA,11,13,13,NA,13,9,4,January,2018
M8 [Family Planning],8.7,Number of complications following IUCD Insertion,TOTAL,1,0,1,1,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,NA,1,NA,1,1,0,January,2018
M8 [Family Planning],8.8,Injectable Contraceptive-Antara Program- First Dose,TOTAL,88,88,0,42,46,7,7,NA,NA,7,1,1,NA,1,NA,44,44,NA,34,10,0,0,NA,0,NA,6,6,NA,6,NA,30,30,NA,1,29,0,NA,0,0,0,January,2018
M8 [Family Planning],8.9,Injectable Contraceptive-Antara Program- Second Dose,TOTAL,45,45,0,16,29,2,2,NA,NA,2,NA,NA,NA,NA,NA,11,11,NA,11,0,0,0,NA,0,NA,2,2,NA,2,NA,30,30,NA,3,27,0,NA,0,0,0,January,2018
M8 [Family Planning],8.1,Injectable Contraceptive-Antara Program- Third Dose,TOTAL,28,28,0,9,19,1,1,NA,NA,1,NA,NA,NA,NA,NA,6,6,NA,6,0,0,0,NA,0,NA,3,3,NA,3,NA,18,18,NA,0,18,0,NA,0,0,0,January,2018
M8 [Family Planning],8.11,Injectable Contraceptive-Antara Program- Fourth or more than fourth,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,0,0,NA,0,0,0,January,2018
M8 [Family Planning],8.12,Number of Combined Oral Pill cycles distributed,TOTAL,1057,1035,22,832,225,34,34,NA,NA,34,4,4,NA,4,NA,576,576,NA,420,156,7,7,NA,7,NA,110,110,NA,110,NA,304,304,NA,269,35,22,NA,22,22,0,January,2018
M8 [Family Planning],8.13,Number of Condom pieces distributed,TOTAL,46043,46020,23,37603,8440,6300,6300,NA,NA,6300,2500,2500,NA,2500,NA,17625,17625,NA,17625,0,500,500,NA,500,NA,1893,1893,NA,1893,NA,17202,17202,NA,15062,2140,23,NA,23,23,0,January,2018
M8 [Family Planning],8.14,Number of Centchroman (weekly) pill strips distributed,TOTAL,335,335,0,299,36,0,0,NA,NA,0,4,4,NA,4,NA,204,204,NA,183,21,1,1,NA,1,NA,45,45,NA,45,NA,81,81,NA,66,15,0,NA,0,0,0,January,2018
M8 [Family Planning],8.15,Number of Emergency Contraceptive Pills (ECP) given,TOTAL,254,250,4,227,27,0,0,NA,NA,0,0,0,NA,0,NA,101,101,NA,89,12,8,8,NA,8,NA,44,44,NA,44,NA,97,97,NA,82,15,4,NA,4,4,0,January,2018
M8 [Family Planning],8.16,Number of Pregnancy Test Kits (PTK) used,TOTAL,1723,1643,80,1183,540,0,0,NA,NA,0,0,0,NA,0,NA,1107,1107,NA,686,421,6,6,NA,6,NA,51,51,NA,51,NA,479,479,NA,374,105,80,NA,80,66,14,January,2018
